[2025-10-16 17:46:28] ✅ All tables dropped and created successfully.
[2025-10-16 17:46:28] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2018\1.json
[2025-10-16 17:46:29] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2018\2.json
[2025-10-16 17:46:29] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2018\3.json
[2025-10-16 17:46:29] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2018\4.json
[2025-10-16 17:46:30] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2019\1.json
[2025-10-16 17:46:30] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2019\2.json
[2025-10-16 17:46:30] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2019\3.json
[2025-10-16 17:46:31] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2019\4.json
[2025-10-16 17:46:31] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2020\1.json
[2025-10-16 17:46:31] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2020\2.json
[2025-10-16 17:46:32] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2020\3.json
[2025-10-16 17:46:32] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2020\4.json
[2025-10-16 17:46:32] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2021\1.json
[2025-10-16 17:46:33] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2021\2.json
[2025-10-16 17:46:33] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2021\3.json
[2025-10-16 17:46:33] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2021\4.json
[2025-10-16 17:46:34] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2022\1.json
[2025-10-16 17:46:34] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2022\2.json
[2025-10-16 17:46:34] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2022\3.json
[2025-10-16 17:46:35] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2022\4.json
[2025-10-16 17:46:35] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2023\1.json
[2025-10-16 17:46:35] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2023\2.json
[2025-10-16 17:46:36] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2023\3.json
[2025-10-16 17:46:36] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2023\4.json
[2025-10-16 17:46:37] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2024\1.json
[2025-10-16 17:46:37] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2024\2.json
[2025-10-16 17:46:37] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2024\3.json
[2025-10-16 17:46:38] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\2024\4.json
[2025-10-16 17:46:38] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\1.json
[2025-10-16 17:46:38] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\2.json
[2025-10-16 17:46:39] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\3.json
[2025-10-16 17:46:39] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\4.json
[2025-10-16 17:46:39] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2019\1.json
[2025-10-16 17:46:40] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2019\2.json
[2025-10-16 17:46:40] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2019\3.json
[2025-10-16 17:46:40] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2019\4.json
